,AXIS_SYMBOL,PAIR_SYMBOL,OPEN_DATE,SIGMA,OPEN_CAT,AXIS_SYMB_OPEN_PRI,AXIS_SYMB_LOT,AXIS_OPEN_MOUNT,PAIR_SYMB_OPEN_PRI,PAIR_SYMB_LOT,PAIR_OPEN_MOUNT,LOT_DIFF(%),CLOSE_DATE,OPEN_DAYS,CLOSE_CAT,AXIS_SYMB_CLOSE_PRI,PAIR_SYMB_CLOSE_PRI,AXIS_CLOSE_MOUNT,PAIR_CLOSE_MOUNT,TOTAL,COMMISSION_N,COMMISSION_CREDIT,PROFIT,PL
0,6178,7201,2017-04-07,2.11,SELL,1364,700,954800,1008.5,900,907650.0,4.94,2017-04-21,14,STOP_PROFIT_OVER_RATIO,1290,1045.0,903000,940500.0,84650.0,1540.0000000000002,2143,80967.0,4.35
1,6178,7201,2017-05-18,-2.7,BUY,1351,700,945700,1085.0,900,976500.0,3.26,2017-06-05,18,SL_MAX_DAY_OVER,1370,1089.5,959000,980550.0,9250.0,1540.0000000000002,2844,4866.0,0.25
2,6178,7201,2017-07-06,-2.11,BUY,1389,700,972300,1147.0,800,917600.0,5.63,2017-07-24,18,SL_MAX_DAY_OVER,1400,1128.0,980000,902400.0,22900.0,1540.0000000000002,2796,18564.0,0.98
3,6178,7201,2017-09-06,-3.49,BUY,1346,700,942200,1085.5,900,976950.0,3.69,2017-09-22,16,SL_MAX_DAY_OVER,1398,1158.0,978600,1042200.0,-28850.0,1540.0000000000002,2524,-32914.0,-1.72
4,6178,7201,2017-09-25,-2.47,BUY,1370,700,959000,1156.0,800,924800.0,3.57,2017-10-11,16,SL_MAX_DAY_OVER,1306,1088.5,914200,870800.0,9200.0,1540.0000000000002,2477,5183.0,0.28
5,6178,7201,2017-12-26,-2.13,BUY,1290,700,903000,1129.5,800,903600.0,0.07,2018-01-11,16,SL_MAX_DAY_OVER,1319,1150.0,923300,920000.0,3900.0,1540.0000000000002,2376,-16.0,-0.0
6,6178,7201,2018-01-24,-2.0,BUY,1329,700,930300,1172.0,800,937600.0,0.78,2018-02-09,16,SL_MAX_DAY_OVER,1263,1115.0,884100,892000.0,-600.0,1540.0000000000002,2456,-4596.0,-0.25
7,6178,7201,2018-05-09,2.61,SELL,1336,700,935200,1108.0,800,886400.0,5.22,2018-05-17,8,STOP_PROFIT_OVER_RATIO,1283,1133.5,898100,906800.0,57500.0,1540.0000000000002,1198,54762.0,3.01
8,6178,7201,2018-07-10,2.48,SELL,1216,800,972800,1025.5,900,922950.0,5.12,2018-07-26,16,SL_MAX_DAY_OVER,1232,1040.0,985600,936000.0,250.0,1540.0000000000002,2493,-3783.0,-0.2
9,6178,7201,2018-08-14,2.36,SELL,1253,700,877100,1036.0,800,828800.0,5.51,2018-08-30,16,SL_MAX_DAY_OVER,1316,1052.5,921200,842000.0,-30900.0,1540.0000000000002,2243,-34683.0,-2.03
10,6178,7201,2018-08-31,2.17,SELL,1318,700,922600,1045.0,900,940500.0,1.94,2018-09-18,18,SL_MAX_DAY_OVER,1335,1060.5,934500,954450.0,2050.0,1540.0000000000002,2756,-2246.0,-0.12
11,6178,7201,2018-10-04,2.04,SELL,1363,700,954100,1045.0,900,940500.0,1.43,2018-10-22,18,SL_MAX_DAY_OVER,1360,999.7,952000,899730.0,-38669.999999999956,1540.0000000000002,2803,-43012.999999999956,-2.27
12,6178,7201,2018-11-21,3.18,SELL,1385,700,969500,945.0,1000,945000.0,2.53,2018-12-03,12,STOP_PROFIT_OVER_RATIO,1379,1004.0,965300,1004000.0,63200.0,1540.0000000000002,1888,59772.0,3.12
13,6178,7201,2018-12-12,2.0,SELL,1307,700,914900,920.0,1000,920000.0,0.56,2018-12-28,16,SL_MAX_DAY_OVER,1258,880.0,880600,880000.0,-5700.0,1540.0000000000002,2413,-9653.0,-0.53
14,6178,7201,2019-01-18,2.1,SELL,1353,700,947100,910.0,1000,910000.0,3.92,2019-02-04,17,SL_MAX_DAY_OVER,1335,928.5,934500,928500.0,31100.0,1540.0000000000002,2595,26965.0,1.45
15,6178,7201,2019-04-11,-2.48,BUY,1249,800,999200,923.7,1100,1016070.0,1.69,2019-04-19,8,STOP_LOSS_OVER_RATIO,1230,957.9,984000,1053690.0,-52819.99999999993,1540.0000000000002,1325,-55684.99999999993,-2.76
16,6178,7201,2019-04-22,-2.76,BUY,1216,800,972800,937.3,1000,937300.0,3.65,2019-04-26,4,STOP_PROFIT_OVER_RATIO,1240,888.7,992000,888700.0,67799.99999999991,1540.0000000000002,628,65631.99999999991,3.44
17,6178,7201,2019-05-16,2.64,SELL,1196,800,956800,785.0,1200,942000.0,1.55,2019-05-24,8,STOP_LOSS_OVER_RATIO,1200,731.0,960000,877200.0,-68000.0,1540.0000000000002,1249,-70789.0,-3.73
18,6178,7201,2019-05-27,3.14,SELL,1208,800,966400,740.8,1300,963039.9999999999,0.35,2019-06-12,16,SL_MAX_DAY_OVER,1215,770.1,972000,1001130.0,32490.000000000087,1540.0000000000002,2537,28413.000000000087,1.47
